date,close,open,high,low,volume,adjclose
2012-05-14 00:00:00,11.24,11.44,11.73,11.24,7571500.0,10.596415
2012-05-15 00:00:00,11.13,11.23,11.3,10.9,7714900.0,10.492714
2012-05-16 00:00:00,11.13,11.12,11.59,11.12,7514900.0,10.492714
2012-05-17 00:00:00,10.19,11.22,11.26,10.04,15646000.0,9.606536
2012-05-18 00:00:00,10.06,10.23,10.4,9.65,10813400.0,9.483979
2012-05-21 00:00:00,10.71,10.07,10.75,10.07,8290100.0,10.096761
2012-05-22 00:00:00,10.62,10.75,10.97,10.53,6227400.0,10.011914
2012-05-23 00:00:00,11.0,10.5,11.0,10.28,7233000.0,10.370155
2012-05-24 00:00:00,12.16,11.19,12.23,11.13,17085400.0,11.463735
2012-05-25 00:00:00,12.3,12.16,12.4,11.96,8341300.0,11.595718
2012-05-29 00:00:00,12.62,12.41,12.67,12.22,7147600.0,11.897397
2012-05-30 00:00:00,12.69,12.6,12.85,12.46,8895400.0,11.963389
2012-05-31 00:00:00,13.22,12.76,13.36,12.51,9914700.0,12.463041
2012-06-01 00:00:00,12.64,13.01,13.05,12.34,11998500.0,11.91625
2012-06-04 00:00:00,11.18,12.63,12.63,11.12,13603800.0,10.53985
2012-06-05 00:00:00,11.62,11.28,11.74,11.18,5680300.0,10.954656
2012-06-06 00:00:00,11.78,11.82,11.89,11.58,5216300.0,11.105494
2012-06-07 00:00:00,11.28,11.82,12.17,11.28,8513300.0,10.634124
2012-06-08 00:00:00,12.15,11.34,12.23,11.18,9863800.0,11.454306
2012-06-11 00:00:00,11.36,12.22,12.42,11.35,7708500.0,10.709543
2012-06-12 00:00:00,11.43,11.49,11.87,11.33,7488200.0,10.775536
2012-06-13 00:00:00,11.97,11.58,12.53,11.5,12150700.0,11.284616
2012-06-14 00:00:00,12.48,12.06,12.55,12.05,8775200.0,11.765411
2012-06-15 00:00:00,12.03,12.39,12.55,11.9,7497600.0,11.341178
2012-06-18 00:00:00,12.5,12.03,12.52,11.83,7784900.0,11.784268
2012-06-19 00:00:00,12.7,12.5,12.78,12.24,11647400.0,11.972815
2012-06-20 00:00:00,13.03,12.65,13.11,12.45,8589200.0,12.283921
2012-06-21 00:00:00,13.47,13.2,13.78,13.2,13129800.0,12.69873
2012-06-22 00:00:00,13.17,13.26,13.75,12.84,14666900.0,12.415906
2012-06-25 00:00:00,12.65,13.0,13.05,12.57,5882000.0,11.925678
2012-06-26 00:00:00,12.88,12.83,13.2,12.78,8187700.0,12.142513
2012-06-27 00:00:00,13.31,12.79,13.33,12.62,7264900.0,12.547888
2012-06-28 00:00:00,13.4,13.13,13.44,12.78,9192300.0,12.632734
2012-06-29 00:00:00,13.33,13.51,13.8,13.21,9455200.0,12.566745
2012-07-02 00:00:00,13.55,13.43,13.81,13.34,10702300.0,12.774147
2012-07-03 00:00:00,13.21,13.49,13.54,13.02,8305000.0,12.453614
2012-07-05 00:00:00,13.47,13.25,13.57,12.88,8573800.0,12.69873
2012-07-06 00:00:00,13.87,13.31,14.09,13.31,11326900.0,13.075823
2012-07-09 00:00:00,13.49,13.82,13.88,13.27,7933800.0,12.717584
2012-07-10 00:00:00,13.91,13.55,13.96,13.36,11868900.0,13.113534
2012-07-11 00:00:00,14.12,13.86,14.42,13.85,9101100.0,13.31151
2012-07-12 00:00:00,13.97,13.98,14.25,13.7,8067800.0,13.170098
2012-07-13 00:00:00,14.45,14.06,14.51,14.06,6694600.0,13.622613
2012-07-16 00:00:00,14.09,14.4,14.5,13.99,9171500.0,13.283226
2012-07-17 00:00:00,14.07,14.2,14.25,13.84,7634500.0,13.264374
2012-07-18 00:00:00,13.42,14.01,14.2,13.2,11240100.0,12.651591
2012-07-19 00:00:00,12.5,13.58,13.75,12.43,13748800.0,11.784268
2012-07-20 00:00:00,12.01,12.42,12.69,11.87,10048400.0,11.322325
2012-07-23 00:00:00,12.08,11.88,12.37,11.54,9005300.0,11.388316
2012-07-24 00:00:00,11.59,12.05,12.1,11.37,7879600.0,10.926375
2012-07-25 00:00:00,11.15,12.17,12.49,10.96,17717800.0,10.511569
2012-07-26 00:00:00,11.19,11.31,11.31,10.59,10942700.0,10.549277
2012-07-27 00:00:00,11.35,11.34,11.54,11.14,5844700.0,10.700113
2012-07-30 00:00:00,11.29,11.3,11.41,11.07,4354100.0,10.64355
2012-07-31 00:00:00,11.46,11.31,11.63,11.16,6818400.0,10.803815
2012-08-01 00:00:00,10.83,11.29,11.29,10.76,8123600.0,10.209889
2012-08-02 00:00:00,10.68,10.73,11.13,10.61,6665600.0,10.068478
2012-08-03 00:00:00,10.89,10.82,11.05,10.72,4475200.0,10.266455
2012-08-06 00:00:00,10.81,10.94,11.12,10.8,5529000.0,10.191037
2012-08-07 00:00:00,9.94,10.84,10.84,9.74,15827900.0,9.370851
2012-08-08 00:00:00,10.4,9.93,10.69,9.81,9183300.0,9.804508
2012-08-09 00:00:00,10.05,10.36,10.56,10.01,5483200.0,9.474552
2012-08-10 00:00:00,10.07,10.17,10.29,10.04,6333900.0,9.493405
2012-08-13 00:00:00,10.12,10.2,10.39,9.95,6249800.0,9.540545
2012-08-14 00:00:00,10.12,10.17,10.38,10.04,4193700.0,9.540545
2012-08-15 00:00:00,10.15,10.08,10.23,10.06,3696700.0,9.568825
2012-08-16 00:00:00,9.91,10.26,10.4,9.9,7958300.0,9.342569
2012-08-17 00:00:00,10.08,9.94,10.09,9.9,7573800.0,9.502832
2012-08-20 00:00:00,10.59,10.08,10.69,10.07,7545600.0,9.983631
2012-08-21 00:00:00,11.42,10.63,11.5,10.63,19958800.0,10.766109
2012-08-22 00:00:00,11.61,11.34,11.73,11.21,10711700.0,10.945225
2012-08-23 00:00:00,11.04,11.65,11.75,11.0,6695000.0,10.407864
2012-08-24 00:00:00,11.11,11.0,11.23,10.9,4722300.0,10.473858
2012-08-27 00:00:00,11.04,11.16,11.36,10.93,5707100.0,10.407864
2012-08-28 00:00:00,10.81,10.99,11.19,10.74,7974300.0,10.191037
2012-08-29 00:00:00,10.45,10.8,11.0,10.41,5761100.0,9.851647
2012-08-30 00:00:00,10.4,10.41,10.47,10.1,5385700.0,9.804508
2012-08-31 00:00:00,10.66,10.89,11.0,10.53,6248300.0,10.049624
2012-09-04 00:00:00,10.45,10.61,10.67,10.22,4713400.0,9.851647
2012-09-05 00:00:00,11.22,10.4,11.28,10.39,8286800.0,10.577559
2012-09-06 00:00:00,11.42,10.95,11.55,10.95,9613800.0,10.766109
2012-09-07 00:00:00,12.14,11.39,12.2,11.33,8939100.0,11.444881
2012-09-10 00:00:00,12.0,12.1,12.48,11.89,9006400.0,11.312896
2012-09-11 00:00:00,11.62,11.96,12.04,11.53,8012700.0,10.954656
2012-09-12 00:00:00,11.82,11.65,11.91,11.58,5036100.0,11.143206
2012-09-13 00:00:00,11.25,11.81,11.81,11.2,8627500.0,10.605844
2012-09-14 00:00:00,10.53,11.17,11.18,10.49,13641000.0,9.927068
2012-09-17 00:00:00,10.56,10.63,10.78,10.19,10504800.0,9.955351
2012-09-18 00:00:00,10.31,10.46,10.68,10.2,6980600.0,9.719666
2012-09-19 00:00:00,10.97,10.53,11.24,10.47,10926500.0,10.341875
2012-09-20 00:00:00,10.68,10.87,10.92,10.66,4523100.0,10.068478
2012-09-21 00:00:00,10.67,10.83,10.85,10.55,6524500.0,10.059052
