date,close,open,high,low,volume,adjclose
2012-05-14 00:00:00,35.93,35.81,36.49,35.72,1653200.0,35.93
2012-05-15 00:00:00,36.45,36.17,37.41,35.94,3586700.0,36.45
2012-05-16 00:00:00,35.89,36.52,36.7,35.65,2709500.0,35.89
2012-05-17 00:00:00,34.73,35.91,36.03,34.7,3193000.0,34.73
2012-05-18 00:00:00,30.26,31.89,32.33,28.52,24181800.0,30.26
2012-05-21 00:00:00,31.85,30.32,31.91,29.98,4779500.0,31.85
2012-05-22 00:00:00,32.43,31.76,32.69,31.7,5449800.0,32.43
2012-05-23 00:00:00,32.18,32.01,32.39,31.31,4328800.0,32.18
2012-05-24 00:00:00,31.86,32.26,32.26,31.67,4970000.0,31.86
2012-05-25 00:00:00,32.12,31.89,32.2,31.68,1821100.0,32.12
2012-05-29 00:00:00,32.78,32.51,32.97,32.29,2140500.0,32.78
2012-05-30 00:00:00,32.15,32.32,32.41,31.76,2116200.0,32.15
2012-05-31 00:00:00,32.02,32.16,32.28,31.44,2764300.0,32.02
2012-06-01 00:00:00,30.84,31.27,31.39,30.74,3728500.0,30.84
2012-06-04 00:00:00,30.83,30.95,31.23,30.05,3968700.0,30.83
2012-06-05 00:00:00,31.27,30.8,31.52,30.63,2841300.0,31.27
2012-06-06 00:00:00,33.11,31.56,33.15,31.49,2704000.0,33.11
2012-06-07 00:00:00,32.65,33.47,33.74,32.54,2208200.0,32.65
2012-06-08 00:00:00,32.78,32.46,32.81,32.22,1642200.0,32.78
2012-06-11 00:00:00,31.84,33.18,33.37,31.78,1779500.0,31.84
2012-06-12 00:00:00,32.3,32.05,32.47,31.8,1960800.0,32.3
2012-06-13 00:00:00,31.7,32.05,32.25,31.54,2227300.0,31.7
2012-06-14 00:00:00,32.08,31.74,32.24,31.19,1921100.0,32.08
2012-06-15 00:00:00,33.37,32.03,33.43,31.94,3168300.0,33.37
2012-06-18 00:00:00,33.64,33.11,33.85,32.76,1614000.0,33.64
2012-06-19 00:00:00,34.64,33.99,35.13,33.76,2877500.0,34.64
2012-06-20 00:00:00,34.67,34.63,35.09,33.99,2605100.0,34.67
2012-06-21 00:00:00,33.05,34.69,34.69,32.98,1831700.0,33.05
